#offerId;monthlyFee;newContractsForMonth;sameContractsForMonth;CancelledContractsForMonth
440;22,09;66;145;37
441;35,09;73;92;32
442;11,83;15;138;27
443;24,99;96;112;44
444;26,98;74;89;11
445;23,32;61;71;24
446;18,48;71;30;40
447;23,94;66;20;31
448;11,92;56;159;18
449;14,51;86;142;4
450;37,8;77;179;45
451;22,75;59;31;39
452;35,28;10;132;13
453;21,52;62;64;35
454;38,02;13;130;50
455;38,19;74;16;14
456;29,65;63;134;36
457;23,34;96;96;14
458;17,44;20;45;32
459;15,98;24;0;7
460;18,35;30;37;30
461;25;69;118;26
462;29,84;90;64;10
463;24,79;1;148;11
464;35,66;64;122;45
465;38,26;75;42;14
466;18,5;72;135;36
467;24,14;9;4;18
468;13,51;26;143;41
469;34,87;41;189;43
470;35,92;50;153;29
471;36,25;67;105;50
472;10,23;57;108;24
473;36,13;72;186;12
474;29,96;67;156;45
475;34,38;54;69;21
476;34,7;87;53;7
477;34,51;98;63;14
478;15,57;83;106;42
479;34,15;46;65;8
480;13,59;2;100;4
481;38,55;22;18;18
482;35,26;9;145;26
483;18,24;99;92;12
484;15,73;49;40;18
485;38,82;5;158;35
486;19,29;46;41;19
487;30,88;5;6;49
488;24,27;77;145;9
489;39,04;75;185;10
490;24,09;46;82;25
491;18,43;39;28;26
492;21,41;79;151;0
493;38,32;71;137;28
494;24,85;73;190;9
495;21,55;51;32;41
496;10,62;1;189;13
497;17,61;18;170;28
498;13,49;63;88;42
499;31,54;69;22;47
500;21,35;86;32;7
501;22,06;18;44;25
502;21,3;76;82;34
503;19,78;78;91;5
504;11,51;86;143;27
505;13,21;75;126;7
506;18,55;57;78;9
507;34,96;87;82;21
508;32,73;18;17;10
509;37,02;52;186;42
510;18,67;72;155;32
511;29,67;73;144;6
512;29,37;92;167;3
513;20,44;38;83;36
514;39,68;20;105;1
515;34,41;90;157;30
516;30,88;8;164;9
517;33,53;73;62;1
518;14,06;50;35;12
519;38,65;76;123;15
520;15,8;8;2;6
521;19,4;92;36;28
522;13,76;2;59;18
523;18,32;97;181;7
524;11,42;24;178;6
525;19,46;14;47;45
526;21,25;96;29;16
527;32,9;97;19;24
528;36,83;12;78;32
529;25,53;74;65;8
530;22,04;84;92;24
531;19,24;58;32;29
532;19,1;38;116;33
533;22,42;16;104;1
534;34,9;46;64;43
535;11,5;81;18;20
536;12,98;16;78;9
537;28,13;68;16;3
538;10,98;14;108;12
539;19,32;43;15;26
540;14,47;57;46;4
541;12,53;69;23;12
542;27,66;10;128;42
543;23,51;85;134;36
544;10,95;1;126;16
545;38,53;93;44;30
546;39,24;60;43;5
547;24,74;8;127;24
548;26,72;50;84;7
549;39,08;83;2;24
550;11,59;95;148;40
551;14,64;75;67;9
552;39,07;14;47;21
553;23,37;98;32;34
554;12,23;4;47;35
555;19,69;20;191;15
556;12,02;98;160;5
557;39,75;30;102;47
558;26,16;32;1;49
559;21,18;13;35;0
560;23,85;36;142;4
561;22,97;52;4;36
562;19,58;46;49;24
563;38,57;45;71;9
564;14,15;34;53;38
565;9,99;29;35;50
566;29,35;89;143;14
567;32,59;86;148;18
568;21,4;66;83;0
569;28,27;19;112;28
570;14,22;53;103;38
571;14,67;26;32;40
572;25,65;66;34;48
573;31,58;57;12;35
574;33,98;1;76;35
575;16,61;54;32;18
576;39,05;100;60;12
577;10,81;100;35;34
578;36,88;29;196;41
579;21,02;74;83;27
580;33,37;40;122;9
581;27,98;40;161;36
582;36,43;39;12;29
583;26,54;67;30;13
584;10,48;41;17;41
585;27,65;73;153;37
586;12,43;21;137;35
587;17,92;50;58;50
588;31,84;13;98;31
589;12,41;33;42;34
590;20,19;53;176;17
591;31,09;96;29;17
592;36,46;19;137;12
593;12,36;49;151;4
594;39,91;53;145;34
595;37,38;34;156;36
596;27,99;75;48;16
597;38,21;40;67;37
598;38,77;74;131;4
599;10,75;63;48;13
600;31,82;42;21;9
601;17,72;46;190;41
602;39,61;14;71;26
603;22,59;2;130;37
604;15,11;59;37;26
605;16,98;19;73;25
606;38,73;6;128;9
607;34,67;79;22;34
608;23,78;28;33;47
609;29,99;92;150;36
610;35,8;16;172;27
611;38,4;28;26;47
612;30,75;76;47;41
613;23,41;40;33;48
614;29,17;26;56;27
615;12,39;0;152;44
616;14,47;33;32;0
617;27,85;71;172;0
618;13,75;29;38;39
619;37,85;88;144;24
620;10,75;94;193;6
621;12,89;1;108;32
622;26,54;88;63;29
623;17,8;91;51;19
624;17,05;56;90;34
625;36,45;42;95;23
626;26,87;29;144;11
627;27,84;4;192;17
628;23,46;87;66;20
629;36,37;56;79;37
630;15,76;98;147;34
631;35,1;88;150;28
632;29,65;5;64;29
633;36,53;5;195;50
634;30,8;21;83;25
635;38,53;84;180;4
636;39,76;12;113;9
637;10,27;16;15;24
638;16,79;20;118;0
639;29,87;90;159;1
640;14,79;17;7;50
641;14,8;0;80;13
642;35,59;27;103;33
643;37,43;77;135;8
644;26,52;61;191;7
645;14,79;52;71;31
646;27,39;5;109;12
647;13,65;37;167;49
648;13,38;81;163;32
649;29,9;96;145;46
650;28,06;33;3;19
651;24,5;40;130;4
652;34,19;4;23;12
653;29,82;95;152;42
654;15,07;58;102;0
655;24,39;38;183;14
656;28,24;88;188;5
657;27,72;16;28;44
658;32,18;35;168;31
659;33,44;3;3;18
660;12,99;27;143;0
661;30,63;81;132;43
662;27,62;69;196;29
663;36,35;12;200;34
664;20,49;56;102;14
665;35,38;10;81;5
666;24,38;57;161;7
667;35,73;95;167;14
668;19,88;17;197;31
669;13,16;37;9;36
670;20,48;3;6;18
671;25,71;78;100;7
672;17,02;99;191;49
673;27,09;77;193;5
674;14,54;94;196;50
675;25,26;28;171;50
676;26,2;56;127;29
677;10,25;70;152;9
678;38,87;78;142;15
679;23,24;27;49;38
680;30,99;37;13;36
681;37,18;44;182;42
682;13,55;24;60;7
683;32,9;46;3;28
684;19,38;95;105;41
685;15,28;18;54;5
686;36,3;17;81;49
687;23,39;91;101;29
688;34,64;26;178;9
689;35,06;62;17;4
690;24,83;100;14;45
691;24,12;45;36;49
692;18,12;7;180;21
693;23,74;36;146;11
694;33,66;92;79;41
695;32,2;21;113;8
696;23,17;16;184;24
697;28,49;8;166;36
698;33,44;56;180;26
699;23,7;82;3;41
700;14,1;29;160;15
701;26,81;87;107;34
702;36,55;12;97;8
703;34,19;6;105;31
704;19,64;14;160;26
705;25,43;26;47;40
706;37,75;69;156;21
707;31,62;15;144;38
708;38,19;3;8;14
709;15,49;21;84;16
710;25,39;66;83;23
711;13,04;11;116;44
712;24,44;30;109;49
713;24,83;1;128;33
714;30,52;42;46;48
715;20,24;36;6;6
716;19,55;0;71;13
717;31,39;9;82;45
718;23,55;4;181;39
719;14,31;22;25;15
720;35,36;29;185;46
721;29,74;93;67;10
722;37,08;13;98;50
723;32,73;3;42;4
724;11,67;13;63;19
725;32,21;79;85;29
726;36,52;27;166;47
727;13,54;47;99;18
728;20,63;3;25;35
729;32,91;38;171;20
730;17,74;41;127;23
731;24,84;92;128;43
732;24,87;24;60;35
733;10,41;50;36;15
734;18,06;2;65;41
735;19,67;31;94;22
736;20,74;2;162;33
737;21,47;22;179;48
738;11,24;50;117;44
739;37,2;14;34;42
740;38,58;35;158;35
741;19,28;77;10;4
742;24,23;34;115;18
743;15,04;18;115;45
744;11,08;49;128;34
745;12,36;79;167;22
746;25,6;84;108;30
747;11,42;27;188;16
748;27,52;64;195;23
749;30,27;34;0;26
750;39,64;20;24;11
751;26,46;22;184;7
752;36,6;37;166;37
753;22,72;66;184;10
754;37,46;34;65;44
755;28,02;48;52;32
756;11,81;70;128;13
757;20,24;93;45;19
758;25,64;60;181;21
759;21,52;67;148;13
760;34,57;62;57;15
761;23,76;5;109;6
762;26,31;40;180;28
763;32,63;95;88;18
764;11,95;59;24;19
765;13,85;48;132;48
766;18,96;71;116;32
767;10;42;29;14
768;26,85;43;62;8
769;20;7;135;3
770;24,86;9;137;30
771;30,2;38;175;1
772;24,55;94;126;8
773;39,02;83;73;16
774;20,21;33;76;23
775;17,41;19;113;14
776;12,91;94;161;24
777;23,89;21;158;8
778;38,45;71;97;34
779;34,54;70;194;6
780;36,22;38;99;44
781;10,94;0;45;8
782;16,32;55;81;42
783;18,29;17;116;1
784;22,12;84;46;30
785;23,27;45;126;35
786;10,5;26;144;5
787;21,08;92;140;25
788;27,91;2;185;17
789;26,92;93;112;18
790;22,15;8;33;47
791;22,98;41;133;37
792;35,28;89;152;31
793;13;1;62;37
794;21,82;18;43;50
795;20,97;16;144;49
796;20,15;9;48;2
797;13,75;99;125;2
798;21,17;76;34;47
799;34,32;65;153;23
800;16,17;27;110;23
801;33,27;50;55;3
802;21,97;4;119;26
803;19,4;44;82;47
804;27,85;1;79;22
805;29,23;83;154;15
806;38,07;78;144;25
807;10,69;61;75;47
808;31,99;91;200;36
809;18,38;12;61;40
810;14,38;64;194;34
811;10,59;62;53;20
812;30,7;43;117;42
813;21,79;55;160;29
814;19,05;81;76;48
815;13,13;16;4;47
816;19,9;57;154;48
817;12,09;88;57;22
818;23,26;49;130;25
819;15,35;28;115;10
820;33,66;68;164;14
821;17,07;53;28;44
822;28,12;30;91;16
823;27,84;93;143;42
824;39,93;22;126;0
825;39,47;87;65;48
826;33,11;89;77;0
827;16,48;91;66;45
828;12,6;72;37;33
829;39,69;14;15;28
830;10,33;21;55;42
831;28,99;17;114;34
832;12,37;83;7;19
833;19,02;46;33;27
834;35,88;24;190;4
835;29,04;4;54;8
836;17,34;90;119;7
837;28,02;24;92;43
838;34,46;68;131;29
839;28,27;96;163;1
840;19,04;25;8;18
841;34,51;61;174;36
842;10,89;56;45;43
843;36,87;77;189;46
844;23,23;82;118;42
845;23,95;99;129;50
846;18,61;41;151;42
847;25,1;41;135;34
848;10,44;60;58;49
849;25,17;66;61;28
850;37,5;34;90;1
851;15,11;0;183;19
852;26,43;84;104;41
853;33,18;19;93;22
854;27,17;69;146;27
855;36,93;74;9;10
856;27,82;54;30;24
857;35,96;55;158;2
858;14,18;100;154;37
859;37,11;36;115;30
860;25,92;6;83;10
861;17,26;69;69;22
862;30,36;13;123;17
863;33,39;86;122;2
864;13,45;11;57;36
865;24,49;62;129;46
866;26,73;87;132;43
867;14,84;13;170;34
868;29,96;55;141;24
869;21,44;63;173;2
870;29,4;75;130;19
871;22,97;51;5;33
872;32,82;33;50;42
873;18,73;41;72;22
874;16,24;11;41;41
875;20,09;100;98;24
876;33,5;36;67;12
877;14,44;77;94;22
878;25,04;52;0;33
879;39,23;41;183;28
880;18,99;2;106;14
881;18,39;26;103;46
882;24,95;9;175;24
883;22,42;71;46;11
884;21,73;66;97;17
885;36,81;30;29;17
886;20,23;27;52;20
887;15,05;37;20;40
888;24,51;19;199;3
889;31,23;33;7;7
890;30,55;57;175;47
891;32;15;183;5
892;36,18;80;28;28
893;30,14;93;165;8
894;28,01;66;105;12
895;18,82;71;140;26
896;21,69;32;177;37
897;10,39;58;199;15
898;32,86;94;66;42
899;23,26;83;21;50
900;29,63;41;99;9
901;26,52;0;20;12
902;11,26;47;70;5
903;24,29;53;8;41
904;26,65;48;172;17
905;38,05;83;114;42
906;17,49;71;2;44
907;22,03;9;147;17
908;24,72;61;51;31
909;38,68;25;67;43
910;17,34;79;15;45
911;32,89;6;78;5
912;20,96;11;99;15
913;25,19;24;93;8
914;22,28;44;92;49
915;36,14;80;154;4
916;33,67;93;12;18
917;15,37;13;147;5
918;19,86;83;41;24
919;21,88;78;187;13
920;38,02;100;108;13
921;12,79;30;91;24
922;38,89;9;43;13
923;13,84;72;130;29
924;13,59;17;112;11
925;25,19;8;49;24
926;26,15;34;97;1
927;32,04;84;120;29
928;13,76;25;178;42
929;14,23;99;9;2
930;10,87;54;144;1
931;34,28;40;21;49
932;13,05;72;145;43
933;12,6;58;94;33
934;11,48;96;93;7
935;33,08;44;98;23
936;39,25;11;103;8
937;25,23;41;188;41
938;22,8;71;159;18
939;22,97;36;80;41
940;37,48;35;7;43
941;35,14;58;106;1
942;37,98;30;78;46
943;19,24;43;53;49
944;36,82;10;83;30
945;18,12;88;24;37
946;34,58;19;13;0
947;37,3;70;189;25
948;33,87;28;66;47
949;20,65;9;39;46
950;36,35;75;163;48
951;18,7;5;79;48
952;10,06;5;116;9
953;26,92;14;58;50
954;16,06;58;112;2
955;21,63;22;62;11
956;39,86;61;72;27
957;16,66;73;143;45
958;23,27;2;85;34
959;39,57;67;54;4
960;11,96;16;146;7
961;27,76;23;182;38
962;16,5;17;27;18
963;38,17;95;54;25
964;32,7;97;106;2
965;35,59;23;166;38
966;13,79;60;64;8
967;18,01;84;29;29
968;25,03;90;39;24
969;16,47;86;69;16
970;35,85;46;12;33
971;12,64;55;123;38
972;17,97;46;138;33
973;28,92;3;71;42
974;12,86;24;61;11
975;10,11;50;63;10
976;35,64;68;49;32
977;19,89;57;78;11
978;35,28;99;28;6
979;38,76;88;21;2
980;22,86;1;174;26
981;21,26;14;73;34
982;28,59;92;148;49
983;18,36;34;74;12
984;20,46;55;12;33
985;13,12;20;44;11
986;13,8;82;180;20
987;37,14;70;105;18
988;27;47;93;49
989;37,05;33;10;0
990;19,16;4;181;23
991;23,77;39;169;7
992;12,99;93;125;45
993;11,02;55;163;27
994;20,77;20;23;30
995;39,59;72;144;37
996;12,62;90;53;15
997;37,23;82;45;47
998;14,18;80;187;18
999;19,68;62;49;10
1000;21,43;27;85;25
1001;26,89;91;17;5
1002;38,45;26;128;4
1003;32,58;48;168;16
1004;12,4;28;23;31
1005;19,66;4;141;34
1006;33,9;80;50;34
1007;20,57;93;101;13
1008;34,73;27;126;39
1009;12,25;25;41;21
1010;19,95;5;75;38
1011;13,52;43;87;23
1012;25,79;91;46;30
1013;10,38;41;146;19
1014;27,75;13;9;31
1015;13,7;62;165;45
1016;34,11;12;113;9
1017;32,42;62;158;18
1018;21,58;40;170;9
1019;38,99;75;30;31
1020;27,04;51;143;16
1021;29,59;23;33;49
1022;35,13;88;130;23
1023;36,22;4;47;7
1024;30,05;14;180;42
1025;28,34;52;76;6
1026;17,99;91;101;33
1027;27,72;81;186;41
1028;23,75;40;26;38
1029;38,74;9;148;5
1030;31,49;90;73;44
1031;36,61;3;11;0
1032;24,07;65;53;19
1033;20,95;1;66;47
1034;12,5;42;191;15
1035;27,33;72;50;46
1036;13,5;9;32;3
1037;19;33;187;47
1038;23,58;16;116;25
1039;28,56;71;64;23
1040;37,52;85;2;8
1041;24,77;35;138;31
1042;24,89;13;38;26
1043;22,75;73;159;49
1044;20,26;9;65;15
1045;19,23;82;97;50
1046;34,8;94;199;15
1047;25,81;95;11;49
1048;34,82;46;31;0
1049;34,64;37;21;26
1050;13,52;91;154;2
1051;21,21;88;114;19
1052;25,6;51;140;10
1053;11,06;46;105;9
1054;14,3;43;37;27
1055;38,78;42;20;34
1056;32,12;25;157;46
1057;26,86;94;121;50
1058;13,03;29;96;49
1059;32,57;42;199;9
1060;32,81;51;39;18
1061;15,02;51;144;11
1062;39,13;88;169;48
1063;30,76;29;177;18
1064;10,72;49;167;8
1065;28,39;68;175;7
1066;15,59;57;141;35
1067;14,92;10;142;18
1068;31,99;13;182;0
1069;20,56;66;84;9
1070;39,12;87;73;21
1071;17,43;81;7;19
1072;30,75;61;108;45
1073;27,37;75;165;32
1074;17,34;49;133;45
1075;23,11;7;136;12
1076;25,35;6;123;12
1077;29,51;3;134;17
1078;29,73;58;126;49
1079;12,27;84;91;26
1080;36,62;62;40;33
1081;19,61;33;134;44
1082;12,26;18;98;24
1083;39,2;36;7;33
1084;24,82;66;1;32
1085;31,44;1;61;42
1086;36,99;68;46;34
1087;15,91;84;3;44
1088;38,99;55;43;15
1089;14,37;81;40;35
1090;13,94;74;77;30
1091;38,86;0;182;17
1092;12,81;18;109;43
1093;18,42;25;28;28
1094;25,63;100;177;3
1095;39,58;77;172;13
1096;30,94;98;119;41
1097;11,54;63;71;6
1098;20,88;73;114;47
1099;30,39;54;5;5
1100;12,95;15;86;49
1101;19,02;25;119;29
1102;18,37;76;90;1
1103;17,87;36;178;28
1104;37,04;60;91;17
1105;17,34;59;132;12
1106;25,97;55;4;43
1107;35,82;85;94;9
1108;39,39;58;154;45
1109;25,13;39;14;36
1110;38,8;48;200;10
1111;12,4;93;175;11
1112;24,25;32;68;24
1113;25,83;13;54;11
1114;26,53;7;57;12
1115;10,66;76;122;50
1116;30,78;30;53;27
1117;27,79;84;107;50
1118;17,53;66;64;6
1119;11,67;53;198;32
1120;35,01;87;49;46
1121;31,84;31;157;0
1122;13,62;21;156;38
1123;13,82;86;182;24
1124;26,49;82;139;5
1125;17,27;63;61;32
1126;35,95;5;19;36
1127;20,92;63;132;28
1128;17,16;17;188;34
1129;33;94;8;17
1130;25,44;27;143;13
1131;14,51;28;189;39
1132;23,65;81;140;38
1133;23,64;83;110;33
1134;37,59;47;40;8
1135;36,8;51;34;5
1136;23,39;63;40;21
1137;25,49;86;168;20
1138;38,71;28;125;36
1139;15,71;65;164;22
1140;35,99;79;62;27
1141;27,94;47;73;2
1142;36,63;43;96;7
1143;14,99;74;58;50
1144;34,09;79;41;42
1145;16,9;90;138;31
1146;32;2;119;48
1147;24,73;92;32;0
1148;27,38;34;81;33
